#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
2012495	1474000	2828000	2151073	5
2014537	2009000	3419000	2713908	25
2015348	6871000	11497000	9254594	8
2016499	3585000	5378000	4479355	7
2023178	3130000	4696000	3929686	15
2023717	3385000	5078000	4231418	20
2025884	1893000	2841000	2367622	11
2026186	4390000	6586000	5476531	59
2026187	4345000	6518000	5426146	23
2026188	4195000	7015000	5604764	23
2026189	4715000	7074000	5894892	12
2026190	4573000	6861000	5680754	10
2026191	4330000	6497000	5413735	4
2026193	4652000	6979000	5804029	9
2026240	4594000	6893000	5743502	18
2026255	2023000	3036000	2564285	8
2027290	3647000	5472000	4559776	7
2027860	6176000	9266000	7720565	9
2027919	4100000	6100000	5100000	18
2029117	2620000	3931000	3275534	8
2029681	4055000	6084000	5063767	6
2041044	3364000	5047000	4205001	4
2042057	3894000	5842000	4867778	26
2044610	669000	1005000	839058	4
2045214	3758000	5639000	4692368	10
2045451	3646000	5471000	4575489	16
2050967	3058000	4589000	3757698	5
2051959	4059000	6089000	5098229	6
2055160	2650000	3976000	3312578	5
2056231	4603000	6905000	5718433	6
2058152	4912000	7369000	6136277	148
2060066	3880000	5821000	4850364	4
2066070	5223000	7836000	6529662	12
2066479	3828000	5744000	4785880	5
2071710	4100000	6100000	5100000	10
2080107	2212	3318	2765	5
2080838	3819000	5729000	4774140	7
2081791	6166000	9250000	7625364	8
2107999	1584000	2378000	1969157	21
2108399	3786000	5680000	4731877	6
2109647	2184000	3278000	2731225	6
2115968	3740000	5644000	4691642	5
2136182	2968000	4454000	3710871	7
2169706	24000	37000	30666	10
2169775	6077	9116	7597	4
2169810	34000	53000	43697	9
2170080	9836	15000	12295	7
2170082	9812	15000	12266	28
2170099	51000	78000	64604	17
2182793	1986000	2981000	2483704	5
2200830	177000	266000	221575	6
2202201	3526000	5291000	4408471	9
2202203	3929000	5895000	4912203	4
2204145	3490000	5236000	4376116	8
2211392	3482000	5224000	4352561	4
2218628	4403000	6606000	5500249	18
2219225	4777000	7167000	6056068	26
2259622	3918000	5879000	4896146	5
2267275	1709000	2565000	2137231	15
2267891	1262000	1894000	1578096	6
2282107	25152000	37730000	31441009	7
2282419	2003000	3877000	2940081	7
2306993	3682000	5524000	4603156	5
2316085	4023000	6035000	5054845	4
2320431	2040000	3062000	2551032	8
2364647	3878000	5818000	4848167	4
2478464	2272000	6630000	4450842	4
2480810	3633000	5451000	4542447	12
2482751	3430000	5147000	4288573	4
2484903	3278000	4918000	4078637	6
2484962	3383000	5076000	4229209	4
2484974	3429000	5145000	4287269	4
2486008	1878000	2819000	2380458	4
2487355	4929000	7460000	6194570	35
2487519	4325000	6489000	5408518	4
2488639	3974000	5963000	4966011	76
2494701	4062000	6123000	5098516	23
2497436	3838000	5758000	4788302	5
2497753	3874000	5812000	4843235	5
2497875	2396000	6171000	4283202	4
2498109	2046000	3070000	2557532	4
2498858	3127000	4692000	3856562	4
2499620	10000	15000	12704	1
2505970	1331000	1997000	1664047	11
2507155	159432000	478298000	318865249	24
2508708	1348000	2023000	1661396	11
2527775	1427000	2142000	1784601	113
2529843	2669000	4005000	3336782	5
2559073	2100000	3152000	2626218	9
2560437	135000	203000	168893	11
2560444	130000	197000	164162	6
2560445	134000	202000	167069	7
2560451	133000	201000	168831	4
2560532	9964	15000	12456	4
2560752	136000	206000	171207	5
2565368	4829000	7245000	6068770	6
2585118	2507000	3762000	3134698	6
2585879	14334000	43003000	28668581	5
2585947	12266000	36800000	24533244	5
2585955	7348000	22045000	14696089	4
2587412	27523000	41286000	34404357	4
2587528	4872000	7309000	6090169	4
2587529	4779000	7170000	6006692	15
2588536	1015000	1524000	1272502	29
2594432	3218000	4828000	4022761	5
2594913	1858000	2788000	2343010	6
2600065	4935000	7404000	6169371	6
2605270	2166000	3250000	2707619	4
2605989	6347000	9522000	7934728	4
2650745	3910000	5866000	4847496	5
2652276	1619000	2979000	2299180	5
2654982	6740000	10111000	8425670	7
2663009	1740000	2908000	2324076	11
2666183	4556000	6835000	5693377	23
2681496	3622000	5434000	4527738	4
2683255	6618000	9929000	8273410	4
2686077	3718000	5578000	4647696	4
2691557	163773000	491321000	327547173	41
2691560	110880000	332641000	221760640	28
2691918	1158000	1738000	1447612	6
2691983	72095000	216288000	144191574	9
2691984	100103000	300311000	200207297	20
2692317	5583000	8385000	6984145	4
2699536	8814000	13223000	11018616	5
2699836	2155000	3234000	2705328	4
2703794	4337000	6506000	5421591	5
2703885	4501000	6753000	5608617	8
2713500	2358000	3539000	2948585	5
2713502	2378000	3568000	2972798	9
2716812	4111000	6281000	5340989	7
2723674	17496000	37645000	27570445	8
2725477	5460000	8192000	6954806	6
2731247	2695000	4044000	3371353	8
2733571	1843000	2766000	2304916	4
2734078	136000	206000	171238	25
2734079	143000	216000	179560	11
2734083	158000	238000	197533	6
2734085	178000	268000	222619	39
2734097	139000	210000	174285	11
2734098	139000	210000	174247	4
2734121	136000	205000	170397	11
2734123	138000	208000	172688	18
2734125	140000	211000	175432	62
2734152	156000	235000	195365	8
2738837	3595000	5394000	4494547	4
2739387	17848000	26773000	22310341	6
2741499	4138000	6209000	5173433	4
2742142	2188000	3284000	2735862	6
2742203	2117000	3177000	2629435	9
